	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
50105987	0.42491865	0.034748476	0.14590824	0.21780138	0.0	0.027490512	0.07734231	0.071790405
50106280	0.45397952	0.060015284	0.15378502	0.16108312	0.0	0.018529296	0.07710034	0.07550744
50106578	0.35549885	0.10205792	0.174284	0.206201	0.0	0.006185469	0.093679324	0.06209345
50106730	0.43500835	0.097777754	0.17885028	0.14204104	0.0	0.002742817	0.08003514	0.063544616
50106992	0.42725635	0.057417568	0.1440945	0.1830504	0.0	0.034120534	0.07809722	0.07596343
50107583	0.451458	0.03554155	0.1514775	0.15952502	0.018279787	0.0	0.08292548	0.100792624
50107619	0.4935728	0.022408186	0.15138121	0.17015176	0.0018113287	0.009337655	0.07259764	0.07873938
50107745	0.45605245	0.04926304	0.16386712	0.14647767	0.019780662	0.0	0.08052083	0.084038116
50107871	0.42087388	0.048898898	0.15327507	0.1977599	0.0	0.021820951	0.083043434	0.07432782
50107907	0.4601587	0.06929814	0.17480445	0.179589	0.0	0.0014254012	0.06389058	0.050833695
50108048	0.49545678	0.0	0.118930764	0.18968605	0.0	0.03802691	0.06629304	0.091606505
50108200	0.45008877	0.0	0.11761395	0.22002113	0.0	0.03463671	0.07920487	0.09843457
50108462	0.43433282	0.03351029	0.14719231	0.20478952	0.0	0.026108185	0.08144958	0.0726173
50108598	0.49040738	0.02965611	0.13497755	0.16176006	0.0	0.030238979	0.07385469	0.079105236
50108886	0.3758321	0.11951558	0.18836205	0.19494808	0.0	0.0	0.069263965	0.05207828
50108912	0.44389927	0.045542475	0.15645392	0.21191451	0.0	0.016870175	0.06745067	0.057868928
50109189	0.46124694	0.061689515	0.16052787	0.1544293	0.0	0.0161577	0.0796384	0.06631025
50109477	0.42907938	0.029929817	0.14449593	0.24400946	0.0	0.023758605	0.06505317	0.06367369
50109927	0.4613705	0.045730714	0.15610887	0.1854814	0.0	0.01483336	0.07266166	0.063813545
50197261	0.46906224	0.060497034	0.15975016	0.14582253	0.0	0.00089405105	0.07815782	0.08581614
50300408	0.4551591	0.041745942	0.15050279	0.18562628	0.0	0.016251981	0.076396905	0.074317075
50300822	0.46040234	0.051206406	0.16318905	0.17832226	0.0	0.010556118	0.07368979	0.06263408
50301099	0.48452708	0.0	0.1293328	0.16334249	0.016502135	0.013325971	0.08390622	0.10906336
